time,trace
0.0,2.4698754808864862
0.002,9.644146183125805
0.004,16.73249214555596
0.006,15.799911957063138
0.008,15.58240397323194
0.01,17.754966318469556
0.012,14.90559705078337
0.014,6.13729438445219
0.016,13.690056671783346
0.018,22.56088227387381
0.02,20.696769632702086
0.022,17.12471715621991
0.024,11.158723254448695
0.026,10.208786357004328
0.028,24.87990479668519
0.03,21.448077069511733
0.032,21.797301692712132
0.034,26.826576860723023
0.036,26.934900822857415
0.038,16.652272095732506
0.04,20.927689200820367
0.042,28.64415037077604
0.044,23.61365369322477
0.046,24.35819742577197
0.048,20.519779918006762
0.05,20.47239952619627
0.052,22.957054557736647
0.054,21.915743324992697
0.056,19.489464229706236
0.058,18.323215583229604
0.06,25.791995630885346
0.062,23.834802801852682
0.064,24.240635658644656
0.066,20.15449265116883
0.068,23.585372229045987
0.07,19.51927298233963
0.072,27.884193645116177
0.074,26.356132846113283
0.076,30.144088878082453
0.078,24.259059958602567
0.08,18.041044374223862
0.082,23.807040691350007
0.084,24.118047420492747
0.086,20.990062877662233
0.088,23.148085353176207
0.09,18.154113030870494
0.092,17.68114429138464
0.094,24.347177667283432
0.096,25.27421157300427
0.098,20.386244394725725
0.1,24.02027444810236
0.102,25.981300034994497
0.104,25.503319690917436
0.106,30.204332069040706
0.108,22.415335703352504
0.11,27.73532891811987
0.112,29.788309961198756
0.114,27.735277199969616
0.116,21.566228984555043
0.118,27.21616364117318
0.12,16.354079701846608
0.122,20.933975730728722
0.124,21.330850266150982
0.126,23.971701922464746
0.128,17.91352934877662
0.13,15.090331032383165
0.132,21.332105304374416
0.134,27.959850697854282
0.136,22.108565898660828
0.138,22.531249546384124
0.14,20.88990031276266
0.142,19.178516941312992
0.144,22.711098262485795
0.146,22.858643217826547
0.148,20.741150855741004
0.15,14.304620184766751
0.152,17.282050285651867
0.154,21.78144040123695
0.156,19.286789897244425
0.158,6.977098329222468
0.16,-7.666634594440751
0.162,-13.40740889019051
0.164,-5.65322459657909
0.166,-9.544081805427027
0.168,-14.684980461062914
0.17,-22.819920609271684
0.172,-16.79490239064047
0.174,-18.846925740091404
0.176,-16.156990272646883
0.178,-18.88009559622121
0.18,-18.52624147291453
0.182,-20.859427609574087
0.184,-25.20565357085095
0.186,-16.920918869498262
0.188,-22.92222299943418
0.19,-30.37356542392241
