time,trace
0.0,11.095062455233975
0.002,1.3717129745666448
0.004,9.547395120094086
0.006,-1.0728913411250458
0.008,-3.654146722697794
0.01,6.104628859026837
0.012,9.346435289709877
0.014,-6.234727558891074
0.016,-13.942859713115523
0.018,-26.76096113242244
0.02,-19.369031831132816
0.022,-22.392071963542683
0.024,-24.28108179582305
0.026,-24.489061562430713
0.028,-20.93801149547999
0.03,-25.04393176595181
0.032,-23.492822413283598
0.034,-25.05268346011963
0.036,-26.762514931217794
0.038,-27.492317129459114
0.04,-30.751090927487237
0.042,-18.663837589824137
0.044,-27.881558507738283
0.046,-28.76825505297778
0.048,-24.70092865922651
0.05,-25.8545808762358
0.052,-26.758213269404656
0.054,-26.850827429933847
0.056,-25.254424912219577
0.058,-29.568007193264485
0.06,-27.546575712473583
0.062,-23.43213186838991
0.064,-26.396677107138526
0.066,-24.518212952779642
0.068,-23.38174097788727
0.07,-23.519262759752138
0.072,-26.051779820765503
0.074,-26.20229371499703
0.076,-25.08780603631013
0.078,-31.303318384443486
0.08,-28.791832363779683
0.082,-24.67534962563066
0.084,-21.079871692005554
0.086,-20.72339988894836
0.088,-26.373935708441337
0.09,-24.53948062586337
0.092,-27.59803611858176
0.094,-27.996603828954093
0.096,-22.842185257545246
0.098,-21.88978151560674
0.1,-24.10439314284727
0.102,-26.256020350655426
0.104,-20.862663284223206
0.106,-23.101322039230418
0.108,-19.20099674156932
0.11,-21.838687730535042
0.112,-19.65039540404741
0.114,-27.753120038667006
0.116,-8.756861743671593
0.118,-5.74462065715571
0.12,-0.791397042285424
0.122,1.3168089781898793
0.124,6.258997392165477
0.126,12.84716827317628
0.128,15.276321608622286
0.13,12.600457279238134
0.132,14.570575144924135
0.134,11.320674993850032
0.136,13.971756609144535
0.138,20.108819902662518
0.14,15.767864848208216
0.142,16.990891450076486
0.144,9.076899769107358
0.146,13.834889724144606
0.148,4.878861290815586
0.15,7.5078145289729346
0.152,14.504749403852525
0.154,14.849665881939114
