time,trace
0.001000,89.227879
0.002000,99.561896
0.003000,103.412961
0.004000,99.501188
0.005000,86.417975
0.006000,71.815322
0.007000,63.765271
0.008000,72.913461
0.009000,82.332424
0.010000,77.837688
0.011000,92.732454
0.012000,75.061668
0.013000,79.922399
0.014000,98.939677
0.015000,61.447481
0.016000,93.687718
0.017000,97.462878
0.018000,96.601053
0.019000,100.590670
0.020000,112.086283
0.021000,101.921879
0.022000,108.439107
0.023000,89.888973
0.024000,105.266938
0.025000,97.618930
0.026000,82.100352
0.027000,83.013717
0.028000,93.206705
0.029000,83.635406
0.030000,75.205504
0.031000,99.597022
0.032000,106.254777
0.033000,80.744144
0.034000,88.667210
0.035000,95.814372
0.036000,75.078948
0.037000,50.743865
0.038000,96.164317
0.039000,108.033335
0.040000,96.254724
0.041000,92.233936
0.042000,82.372181
0.043000,92.721434
0.044000,85.477727
0.045000,88.355528
0.046000,79.688395
0.047000,91.924412
0.048000,99.842057
0.049000,99.251577
0.050000,100.037749
0.051000,80.863913
0.052000,80.192741
0.053000,75.652096
0.054000,74.545570
0.055000,67.782434
0.056000,70.813238
0.057000,77.727118
0.058000,78.760193
0.059000,70.861407
0.060000,69.869672
0.061000,79.891738
0.062000,111.548927
0.063000,103.499961
0.064000,106.984663
0.065000,90.711201
0.066000,94.920888
0.067000,110.275228
0.068000,108.706193
0.069000,101.985208
0.070000,95.186692
0.071000,113.201521
0.072000,99.565352
0.073000,87.726778
0.074000,56.571136
0.075000,60.232718
0.076000,64.804713
0.077000,64.249338
0.078000,88.130418
0.079000,50.563409
0.080000,58.055274
0.081000,46.010902
0.082000,47.669591
0.083000,13.762718
0.084000,6.327339
0.085000,23.135718
0.086000,1.837455
0.087000,-2.623952
0.088000,-3.840828
0.089000,5.286169
0.090000,-9.922945
0.091000,0.103569
0.092000,-15.597728
0.093000,-9.396815
0.094000,-19.296216
0.095000,-26.380014
0.096000,-19.413603
0.097000,5.164708
0.098000,14.137162
0.099000,-24.683452
0.100000,-22.033712
0.101000,-9.629762
0.102000,-28.821860
0.103000,-35.712435
0.104000,-15.179483
0.105000,-19.843575
0.106000,-33.275689
0.107000,-16.951498
0.108000,-43.133532
0.109000,-26.352069
0.110000,-45.251184
0.111000,-46.387691
0.112000,-16.625308
0.113000,-35.835136
0.114000,-48.978200
0.115000,-44.079553
0.116000,-28.455980
0.117000,-47.881621
0.118000,-48.865256
0.119000,-40.332127
0.120000,-10.026173
0.121000,-29.382623
0.122000,-45.185283
0.123000,-44.099839
0.124000,-45.567107
0.125000,-45.676593
0.126000,-32.173812
0.127000,-31.669257
0.128000,-42.095227
0.129000,-31.137294
0.130000,-84.113195
0.131000,-39.291938
0.132000,-26.759981
0.133000,-39.603089
0.134000,-35.241022
0.135000,-60.742690
0.136000,-59.593147
0.137000,-55.841158
0.138000,-52.752700
0.139000,-47.999229
0.140000,-65.311466
0.141000,-61.705743
0.142000,-52.850229
0.143000,-45.115484
0.144000,-34.873462
0.145000,-57.416264
0.146000,-65.971144
0.147000,-71.373908
0.148000,-41.323061
0.149000,-59.046429
0.150000,-78.062219
0.151000,-50.695448
0.152000,-71.108822
0.153000,-55.647226
0.154000,-70.849113
0.155000,-70.659165
0.156000,-46.116425
0.157000,-75.246825
0.158000,-73.092812
0.159000,-55.589650
0.160000,-64.816071
0.161000,-52.026108
0.162000,-66.423072
0.163000,-75.458657
0.164000,-68.660174
0.165000,-62.308494
0.166000,-57.181793
0.167000,-78.224643
0.168000,-48.019338
0.169000,-42.487979
0.170000,-62.698334
0.171000,-57.843919
0.172000,-69.669821
0.173000,-73.100989
0.174000,-85.161134
0.175000,-91.615942
0.176000,-88.269889
0.177000,-70.334940
0.178000,-55.324179
0.179000,-57.652049
0.180000,-88.697107
0.181000,-82.534572
0.182000,-72.287289
0.183000,-82.336252
0.184000,-72.887790
0.185000,-77.038280
0.186000,-70.084421
0.187000,-80.171379
0.188000,-56.360389
0.189000,-65.765732
0.190000,-61.172283
0.191000,-63.865586
0.192000,-59.019335
0.193000,-69.260809
0.194000,-66.134440
0.195000,-69.109945
0.196000,-78.633608
0.197000,-93.026846
0.198000,-56.901704
0.199000,-59.583431
0.200000,-64.283632
0.201000,-57.875307
0.202000,-72.958432
0.203000,-71.994947
0.204000,-74.618619
0.205000,-69.790719
0.206000,-82.698058
0.207000,-59.678255
0.208000,-65.388568
0.209000,-75.192119
0.210000,-67.320967
0.211000,-54.348017
0.212000,-50.259198
0.213000,-57.115230
0.214000,-34.329078
0.215000,-73.450955
0.216000,-65.426571
0.217000,-61.056109
0.218000,-66.148215
0.219000,-36.886025
0.220000,-62.132981
0.221000,-38.425750
0.222000,-26.840541
0.223000,-49.614045
0.224000,-20.094826
0.225000,-33.866897
0.226000,-25.504738
0.227000,-24.215678
0.228000,6.248598
0.229000,18.881484
0.230000,24.916312
0.231000,10.618984
0.232000,2.972044
0.233000,27.392182
0.234000,23.622021
0.235000,38.095069
0.236000,16.528910
0.237000,18.130557
0.238000,44.517817
0.239000,35.405955
0.240000,62.738378
0.241000,37.961475
0.242000,58.274769
0.243000,55.280855
0.244000,62.861963
0.245000,39.322052
0.246000,58.614183
0.247000,67.627714
0.248000,69.066913
0.249000,52.055454
0.250000,61.642298
0.251000,50.001716
0.252000,62.667134
0.253000,55.796328
0.254000,75.887367
0.255000,48.729184
0.256000,73.647594
0.257000,56.082457
0.258000,70.896085
0.259000,81.226647
0.260000,65.714581
0.261000,55.319125
0.262000,74.844745
0.263000,49.205425
0.264000,79.154122
0.265000,57.252750
0.266000,76.971047
0.267000,63.107994
0.268000,85.474387
0.269000,80.369080
