time,trace
0.001000,72.765559
0.002000,70.731417
0.003000,83.715124
0.004000,78.683111
0.005000,74.675281
0.006000,63.938720
0.007000,69.365306
0.008000,70.420401
0.009000,69.831564
0.010000,71.914268
0.011000,65.354173
0.012000,46.922701
0.013000,39.811118
0.014000,22.872376
0.015000,10.175443
0.016000,8.457420
0.017000,0.235678
0.018000,3.553930
0.019000,1.969379
0.020000,7.870656
0.021000,1.843144
0.022000,-3.954875
0.023000,11.287632
0.024000,7.896862
0.025000,5.720540
0.026000,1.920171
0.027000,11.086486
0.028000,22.244930
0.029000,33.368219
0.030000,28.285328
0.031000,47.689967
0.032000,42.345002
0.033000,51.831663
0.034000,50.284414
0.035000,68.668714
0.036000,59.600241
0.037000,59.666300
0.038000,64.818245
0.039000,66.276484
0.040000,65.451174
0.041000,63.481597
0.042000,69.267289
0.043000,78.033749
0.044000,66.584160
0.045000,74.168355
0.046000,71.433625
0.047000,69.895584
0.048000,75.959128
0.049000,73.537453
0.050000,72.604958
0.051000,83.388503
0.052000,77.586317
0.053000,81.510261
0.054000,80.576376
0.055000,78.623738
0.056000,79.822097
0.057000,81.879109
0.058000,91.044355
0.059000,78.848858
0.060000,60.658598
0.061000,64.585641
0.062000,68.163291
0.063000,72.774827
0.064000,70.624214
0.065000,79.620392
0.066000,68.715846
0.067000,79.367090
0.068000,58.883897
0.069000,46.767068
0.070000,24.605823
0.071000,16.222774
0.072000,24.097872
0.073000,24.427692
0.074000,13.338094
0.075000,12.734726
0.076000,-2.107353
0.077000,-0.510750
0.078000,9.531891
0.079000,-8.365857
0.080000,10.909758
0.081000,1.891211
0.082000,6.664794
0.083000,14.512610
0.084000,3.380358
0.085000,6.296222
0.086000,19.403463
0.087000,2.789758
0.088000,13.996552
0.089000,-0.253851
0.090000,0.562643
0.091000,4.465246
0.092000,-8.926297
0.093000,2.365900
0.094000,4.902840
0.095000,15.844681
0.096000,34.995160
0.097000,52.489265
0.098000,50.228470
0.099000,48.556545
0.100000,58.127222
0.101000,59.598553
0.102000,69.124888
0.103000,68.031482
0.104000,66.911958
0.105000,59.616261
0.106000,68.436924
0.107000,68.195543
0.108000,69.345991
0.109000,69.760688
0.110000,69.496917
0.111000,72.945434
0.112000,70.029287
0.113000,78.165760
0.114000,64.311125
0.115000,73.138589
0.116000,80.461349
0.117000,75.353435
0.118000,65.393204
0.119000,76.688644
0.120000,83.652181
0.121000,80.278872
0.122000,71.646921
0.123000,68.305693
0.124000,74.887964
0.125000,86.142127
0.126000,68.671675
0.127000,75.075745
0.128000,73.332352
0.129000,81.573195
0.130000,72.277713
0.131000,79.518330
0.132000,81.931784
0.133000,77.775160
0.134000,73.964206
0.135000,74.992442
0.136000,79.765822
0.137000,81.984750
0.138000,74.046688
0.139000,73.673114
0.140000,65.187223
0.141000,65.720129
0.142000,61.280979
0.143000,32.716599
0.144000,18.622003
0.145000,19.239755
0.146000,11.933304
0.147000,0.695498
0.148000,16.704973
0.149000,18.921764
0.150000,23.563438
0.151000,0.902680
0.152000,4.537616
0.153000,0.535365
0.154000,-8.686998
0.155000,5.970421
0.156000,22.024229
0.157000,22.057841
0.158000,16.668593
0.159000,8.395093
0.160000,1.089397
0.161000,-2.231206
0.162000,1.638656
0.163000,-3.211800
0.164000,-7.162766
0.165000,-17.678130
0.166000,-5.972606
0.167000,-3.763948
0.168000,-15.115573
0.169000,-15.296667
0.170000,-9.144263
0.171000,-19.308817
0.172000,0.965905
0.173000,-0.039637
0.174000,-6.055387
0.175000,-7.532960
0.176000,-24.504269
0.177000,-19.005633
0.178000,-16.933226
0.179000,-11.146652
0.180000,-12.656182
0.181000,-21.151310
0.182000,-18.002581
0.183000,-18.772859
0.184000,0.765346
0.185000,11.648887
0.186000,18.006915
0.187000,28.221013
0.188000,28.736918
0.189000,29.482427
0.190000,34.960293
0.191000,46.207019
0.192000,44.489604
0.193000,42.749671
0.194000,54.892249
0.195000,49.764600
0.196000,44.320052
0.197000,49.734213
0.198000,45.664026
0.199000,54.268206
0.200000,62.650064
0.201000,66.508877
0.202000,63.288324
0.203000,65.620216
0.204000,64.544157
0.205000,69.887570
0.206000,70.857067
0.207000,68.786535
0.208000,63.358054
0.209000,77.786016
0.210000,71.659340
0.211000,80.032805
0.212000,76.346126
0.213000,70.705725
0.214000,67.049940
0.215000,70.552978
0.216000,69.097897
0.217000,73.813696
0.218000,74.398346
0.219000,60.820535
0.220000,71.384980
0.221000,74.729687
0.222000,74.202571
0.223000,71.674876
0.224000,82.170680
0.225000,73.975824
0.226000,72.897542
0.227000,63.296402
0.228000,68.353470
0.229000,61.841499
0.230000,77.848014
0.231000,81.152697
0.232000,76.663821
0.233000,60.046042
0.234000,74.506786
0.235000,69.644575
0.236000,77.354742
0.237000,79.046555
0.238000,89.472856
0.239000,73.716314
0.240000,79.454437
0.241000,77.450915
0.242000,78.156078
0.243000,77.780719
0.244000,77.228810
0.245000,73.727557
0.246000,73.922218
0.247000,80.428415
0.248000,75.157878
0.249000,81.098092
0.250000,72.613885
0.251000,75.780437
0.252000,74.386980
0.253000,67.062921
0.254000,69.308365
0.255000,54.526132
0.256000,38.661651
0.257000,22.257866
0.258000,21.968875
0.259000,6.866290
0.260000,13.439273
0.261000,4.567050
0.262000,7.789046
0.263000,10.023744
0.264000,13.272937
0.265000,5.002038
0.266000,8.242593
0.267000,-0.990270
0.268000,3.221090
0.269000,2.403660
0.270000,1.356625
0.271000,-2.297130
0.272000,-2.855914
0.273000,-8.506864
0.274000,14.862810
0.275000,11.779545
0.276000,15.918396
0.277000,16.494623
0.278000,11.711488
0.279000,32.056341
0.280000,46.027526
0.281000,66.483729
0.282000,46.928106
0.283000,62.215336
0.284000,62.809782
0.285000,64.899455
0.286000,56.362142
0.287000,65.429897
0.288000,70.810064
0.289000,67.697790
0.290000,65.407664
0.291000,75.181609
0.292000,68.128197
0.293000,74.196510
0.294000,65.923134
0.295000,53.435182
0.296000,68.537516
0.297000,76.829649
0.298000,70.505897
0.299000,77.152959
0.300000,73.064940
0.301000,73.672796
0.302000,65.484416
0.303000,82.084393
0.304000,77.711958
0.305000,70.198184
0.306000,76.977268
0.307000,72.334752
0.308000,68.764527
0.309000,74.380609
0.310000,73.746422
0.311000,66.765777
0.312000,67.053958
0.313000,65.011208
0.314000,68.441548
0.315000,80.026456
0.316000,69.482277
0.317000,78.284585
0.318000,72.930236
0.319000,57.657547
0.320000,40.366945
0.321000,16.536273
0.322000,21.156599
0.323000,9.911219
0.324000,11.887678
0.325000,-2.996304
0.326000,6.271397
0.327000,7.655357
0.328000,-13.591723
0.329000,11.536085
0.330000,0.946204
0.331000,7.823557
0.332000,8.537032
0.333000,-1.438858
0.334000,3.898609
0.335000,-1.103656
0.336000,4.328710
0.337000,-2.188287
0.338000,0.008996
0.339000,0.079672
0.340000,11.104368
0.341000,-14.118079
0.342000,-7.068629
0.343000,-16.837554
0.344000,-16.118468
0.345000,-11.204423
0.346000,-4.562454
0.347000,3.094850
0.348000,-3.471748
0.349000,-6.839177
0.350000,-6.984396
0.351000,-5.939143
0.352000,-6.360570
0.353000,1.211266
0.354000,7.773834
0.355000,-11.111569
0.356000,1.293427
0.357000,-4.166764
0.358000,0.431306
0.359000,27.244773
0.360000,44.249163
0.361000,36.059597
0.362000,40.398910
0.363000,43.657527
0.364000,47.829742
0.365000,71.627400
0.366000,47.209924
0.367000,56.752739
0.368000,54.685939
0.369000,56.522993
0.370000,55.730700
0.371000,59.061092
0.372000,61.009504
0.373000,72.257844
0.374000,65.725207
0.375000,76.832976
0.376000,58.520762
0.377000,70.542711
0.378000,65.977507
0.379000,69.197293
0.380000,71.573771
0.381000,56.674563
0.382000,62.842841
0.383000,58.934441
0.384000,55.699853
0.385000,54.421624
0.386000,70.604487
0.387000,73.122001
0.388000,59.259861
0.389000,69.425055
