time,trace
0.000000,37.022224
0.001000,24.801940
0.002000,32.009629
0.003000,42.340632
0.004000,27.981320
0.005000,37.112083
0.006000,31.425524
0.007000,39.600144
0.008000,34.156232
0.009000,20.552189
0.010000,28.040575
0.011000,29.550249
0.012000,33.567310
0.013000,27.856840
0.014000,29.254248
0.015000,31.554219
0.016000,35.972148
0.017000,35.914241
0.018000,33.794138
0.019000,40.608064
0.020000,39.052901
0.021000,36.269706
0.022000,33.227481
0.023000,29.168135
0.024000,23.778925
0.025000,17.579250
0.026000,15.198610
0.027000,-9.866401
0.028000,-29.761226
0.029000,-32.079924
0.030000,-35.409899
0.031000,-33.936623
0.032000,-30.076520
0.033000,-27.875505
0.034000,-32.744361
0.035000,-28.477198
0.036000,-30.899392
0.037000,-36.787447
0.038000,-36.588819
0.039000,-33.797945
0.040000,-37.476721
0.041000,-37.258366
0.042000,-37.042088
0.043000,-47.970620
0.044000,-42.137585
0.045000,-37.955737
0.046000,-35.658333
0.047000,-37.509744
0.048000,-27.831117
0.049000,-32.702770
0.050000,-40.037188
0.051000,-33.768912
0.052000,-42.671549
0.053000,-37.770247
0.054000,-44.704166
0.055000,-42.224974
0.056000,-44.438735
0.057000,-30.983157
0.058000,-41.549844
0.059000,-38.317243
0.060000,-41.647870
0.061000,-37.400536
0.062000,-43.620655
0.063000,-31.986704
0.064000,-35.234335
0.065000,-34.573643
0.066000,-39.899067
0.067000,-29.642720
0.068000,-37.837407
0.069000,-27.451770
0.070000,-19.198418
0.071000,-14.281208
0.072000,-19.854395
0.073000,-6.665933
0.074000,-2.005078
0.075000,4.373684
0.076000,2.737030
0.077000,10.065843
0.078000,13.378342
0.079000,10.003424
0.080000,6.116016
0.081000,6.042667
0.082000,13.358781
0.083000,29.351776
0.084000,25.677109
0.085000,20.909028
0.086000,23.793452
0.087000,24.465656
0.088000,30.275730
0.089000,34.577048
0.090000,27.174245
0.091000,29.017835
0.092000,37.791343
0.093000,30.443440
0.094000,29.875092
0.095000,31.241062
0.096000,34.530747
0.097000,32.158928
0.098000,39.299141
0.099000,35.437672
0.100000,25.769668
0.101000,30.732365
0.102000,30.936910
0.103000,41.090732
0.104000,34.377143
0.105000,37.075165
0.106000,24.174188
0.107000,35.509432
0.108000,33.568631
0.109000,30.110279
0.110000,24.476757
0.111000,28.559785
0.112000,25.620458
0.113000,33.812245
0.114000,27.616679
0.115000,38.272833
0.116000,37.991815
0.117000,29.135684
0.118000,27.594575
0.119000,8.515281
0.120000,-5.526393
0.121000,0.690362
0.122000,-12.576353
0.123000,-8.700226
0.124000,-12.058607
0.125000,-9.351967
0.126000,-15.833930
0.127000,-15.335658
0.128000,-21.676953
0.129000,-24.397247
0.130000,-23.478994
0.131000,-27.309402
0.132000,-30.594125
0.133000,-30.685545
0.134000,-12.784956
0.135000,0.657725
0.136000,1.647298
0.137000,1.160695
0.138000,20.175006
0.139000,26.126961
0.140000,21.800788
0.141000,30.257182
0.142000,26.941879
0.143000,29.546814
0.144000,23.735874
0.145000,21.062104
0.146000,35.132061
0.147000,27.385226
0.148000,26.175943
0.149000,28.146841
0.150000,34.607476
0.151000,39.401499
0.152000,38.172384
0.153000,41.322773
0.154000,27.446849
0.155000,31.203222
0.156000,26.518604
0.157000,24.186645
0.158000,25.428835
0.159000,25.488523
0.160000,25.064230
0.161000,25.422928
0.162000,27.885043
0.163000,22.981464
0.164000,33.455108
0.165000,31.204063
0.166000,44.394801
0.167000,44.486293
0.168000,20.955233
0.169000,42.091653
0.170000,46.080402
0.171000,40.532993
0.172000,46.657018
0.173000,45.140535
0.174000,47.711809
0.175000,48.412433
0.176000,42.598610
0.177000,36.703065
0.178000,41.383445
0.179000,40.918676
0.180000,48.948203
0.181000,45.886807
0.182000,51.831309
0.183000,41.212056
0.184000,31.881150
0.185000,41.550069
0.186000,50.494635
